Year,Round,Race,PhysCorr,LSTMCorr,TransCorr,Blend73Corr,Blend82Corr,Blend55Corr,Drivers
2024,1,Bahrain Grand Prix,0.3058823529411765,0.9235294117647058,0.961764705882353,0.9470588235294116,0.9470588235294116,0.9441176470588234,16
2024,2,Saudi Arabian Grand Prix,0.4392857142857142,0.9714285714285713,0.982142857142857,0.9607142857142855,0.9607142857142855,0.9714285714285713,15
2024,3,Australian Grand Prix,0.008830024465578904,0.9477559593054689,0.9433409470726796,0.9713026912136793,0.9713026912136793,0.9713026912136793,16
2024,4,Japanese Grand Prix,0.5592348828199972,0.9874910694005741,0.9727743619579425,0.9904344108891003,0.9904344108891003,0.9933777523776265,16
2024,7,Emilia Romagna Grand Prix,0.6941176470588235,0.9941176470588234,0.9911764705882352,0.9970588235294118,0.9941176470588234,0.9970588235294118,16
2024,8,Monaco Grand Prix,0.6931569205479439,0.9904344108891003,0.9713026912136793,0.9933777523776265,0.9904344108891003,0.9933777523776265,16
2024,9,Canadian Grand Prix,0.12538710114557172,0.9792135518035127,0.9792135518035127,0.9792135518035127,0.9792135518035127,0.9792135518035127,16
2024,10,Spanish Grand Prix,0.7941176470588236,0.9970588235294118,0.9911764705882352,0.9970588235294118,0.9970588235294118,0.9970588235294118,16
2024,12,British Grand Prix,0.3911764705882353,0.9852941176470588,0.976470588235294,0.9823529411764707,0.9852941176470588,0.9823529411764707,16
2024,13,Hungarian Grand Prix,0.8852941176470588,0.9529411764705882,0.9823529411764707,0.9558823529411766,0.9529411764705882,0.9588235294117649,16
2024,14,Belgian Grand Prix,0.6205882352941177,0.9941176470588234,0.9941176470588234,0.9941176470588234,0.9941176470588234,0.9941176470588234,16
2024,15,Dutch Grand Prix,0.5529411764705882,0.9823529411764707,0.9823529411764707,0.9941176470588234,0.9941176470588234,0.9941176470588234,16
2024,16,Italian Grand Prix,0.7382352941176471,0.9911764705882352,0.9823529411764707,0.9911764705882352,0.9911764705882352,0.9941176470588234,16
2024,17,Azerbaijan Grand Prix,0.6527472527472528,0.9956043956043955,0.9692307692307693,0.9912087912087912,0.9912087912087912,0.9868131868131869,14
2024,18,Singapore Grand Prix,0.6428571428571428,0.9892857142857142,0.9857142857142854,0.9892857142857142,0.9892857142857142,0.9857142857142854,15
2024,20,Mexico City Grand Prix,0.5055236907363149,0.9911796381685825,0.9337839352902236,0.9867645841010163,0.9911796381685825,0.9779344759658842,14
2024,22,Las Vegas Grand Prix,0.5970588235294118,0.9588235294117649,0.9852941176470588,0.9794117647058824,0.9735294117647059,0.9823529411764707,16
2024,24,Abu Dhabi Grand Prix,0.5033113945379974,0.9727743619579425,0.9418692763284162,0.9742460327022057,0.9698310204694162,0.9654160082366268,16
2025,1,Australian Grand Prix,0.44833693973654165,0.99124495269876,0.9632238939652261,0.9842396880153765,0.9842396880153765,0.9842396880153765,12
2025,3,Japanese Grand Prix,0.2692307692307692,0.989010989010989,0.9725274725274725,0.9945054945054945,0.9945054945054945,0.9945054945054945,13
2025,4,Bahrain Grand Prix,0.36863858808008876,0.9821192234671022,0.9711150865094875,0.9876212919459094,0.9876212919459094,0.9876212919459094,13
2025,5,Saudi Arabian Grand Prix,0.3344336457172239,0.9856991663244494,0.9768982809108382,0.9856991663244494,0.9856991663244494,0.9856991663244494,14
2025,7,Emilia Romagna Grand Prix,0.6098901098901099,0.945054945054945,0.9065934065934067,0.9560439560439561,0.9560439560439561,0.9230769230769231,13
2025,8,Monaco Grand Prix,0.55,0.9852941176470588,0.9705882352941176,0.9823529411764707,0.988235294117647,0.9823529411764707,16
2025,9,Spanish Grand Prix,0.6578368226856283,0.9933777523776265,0.9256808981415217,0.9933777523776265,0.9933777523776265,0.9727743619579425,16
2025,10,Canadian Grand Prix,0.09705882352941177,0.9911764705882352,0.976470588235294,0.9970588235294118,0.9911764705882352,0.9970588235294118,16
2025,11,Austrian Grand Prix,0.15634286311119475,0.9941046201598608,0.9852550241346988,0.9941046201598608,0.9941046201598608,0.9882048894764195,16
2025,12,British Grand Prix,0.12741090295338137,0.9866937368250231,0.9837306925702933,0.9837306925702933,0.9866937368250231,0.9866937368250231,16
2025,14,Hungarian Grand Prix,0.4676470588235294,0.9823529411764707,0.9852941176470588,0.9911764705882352,0.9852941176470588,0.9911764705882352,16
2025,15,Dutch Grand Prix,0.1103753058197363,0.9992644353546792,0.9757177034464688,0.9963210938661529,0.9992644353546792,0.9933777523776265,16
2025,16,Italian Grand Prix,0.7505520795742068,0.9992644353546792,0.9874910694005741,0.9992644353546792,0.9992644353546792,0.9963210938661529,16
2025,17,Azerbaijan Grand Prix,0.488235294117647,0.9941176470588234,0.9441176470588234,0.9941176470588234,0.9941176470588234,0.988235294117647,16
2025,18,Singapore Grand Prix,0.6617647058823529,1.0,0.9852941176470588,0.9970588235294118,0.9970588235294118,0.9941176470588234,16
2025,20,Mexico City Grand Prix,0.40118168647400915,0.9764054281095369,0.9498566400340509,0.9764054281095369,0.9764054281095369,0.9646059667426543,16
2025,22,Las Vegas Grand Prix,0.35852835482230566,0.9807676483155635,0.9807676483155635,0.9807676483155635,0.9807676483155635,0.9837306925702933,16
