Year,Round,Race,Correlation,PodiumHits,DriversSimulated,TotalLaps
2024,1,Bahrain Grand Prix,0.3058823529411765,0,16,57
2024,2,Saudi Arabian Grand Prix,0.4058823529411764,2,16,57
2024,3,Australian Grand Prix,0.008830024465578904,1,16,57
2024,4,Japanese Grand Prix,0.5592348828199972,1,16,57
2024,5,Chinese Grand Prix,0.5312731386789973,2,16,57
2024,6,Miami Grand Prix,0.13823529411764704,1,16,57
2024,7,Emilia Romagna Grand Prix,0.6941176470588235,1,16,57
2024,8,Monaco Grand Prix,0.6931569205479439,2,16,57
2024,9,Canadian Grand Prix,0.12538710114557172,1,16,57
2024,10,Spanish Grand Prix,0.7941176470588236,2,16,57
2024,11,Austrian Grand Prix,0.5,1,16,57
2024,12,British Grand Prix,0.3911764705882353,1,16,57
2024,13,Hungarian Grand Prix,0.8852941176470588,1,16,57
2024,14,Belgian Grand Prix,0.6205882352941177,1,16,57
2024,15,Dutch Grand Prix,0.5529411764705882,1,16,57
2024,16,Italian Grand Prix,0.7382352941176471,2,16,57
2024,17,Azerbaijan Grand Prix,0.6264705882352941,1,16,57
2024,18,Singapore Grand Prix,0.6558823529411765,1,16,57
2024,19,United States Grand Prix,0.5,1,16,57
2024,20,Mexico City Grand Prix,0.4837779160421875,2,16,57
2024,21,São Paulo Grand Prix,0.3982318211322885,0,16,57
2024,22,Las Vegas Grand Prix,0.5970588235294118,2,16,57
2024,23,Qatar Grand Prix,0.46946296741994503,2,16,57
2024,24,Abu Dhabi Grand Prix,0.5033113945379974,3,16,57
