Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2024,1,Bahrain Grand Prix,HAM,9,7,1,-6,6
2024,1,Bahrain Grand Prix,RUS,3,5,2,-3,3
2024,1,Bahrain Grand Prix,TSU,11,14,3,-11,11
2024,1,Bahrain Grand Prix,SAI,4,3,4,1,1
2024,1,Bahrain Grand Prix,NOR,7,6,5,-1,1
2024,1,Bahrain Grand Prix,ALO,6,9,6,-3,3
2024,1,Bahrain Grand Prix,PER,5,2,7,5,5
2024,1,Bahrain Grand Prix,ALB,13,15,8,-7,7
2024,1,Bahrain Grand Prix,LEC,2,4,9,5,5
2024,1,Bahrain Grand Prix,RIC,14,13,10,-3,3
2024,1,Bahrain Grand Prix,BOT,16,19,11,-8,8
2024,1,Bahrain Grand Prix,PIA,8,8,12,4,4
2024,1,Bahrain Grand Prix,VER,1,1,13,12,12
2024,1,Bahrain Grand Prix,STR,12,10,14,4,4
2024,1,Bahrain Grand Prix,HUL,10,16,15,-1,1
2024,1,Bahrain Grand Prix,MAG,15,12,16,4,4
