Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2024,3,Australian Grand Prix,NOR,3,3,1,-2,2
2024,3,Australian Grand Prix,RUS,7,17,2,-15,15
2024,3,Australian Grand Prix,HUL,16,9,3,-6,6
2024,3,Australian Grand Prix,VER,1,20,4,-16,16
2024,3,Australian Grand Prix,SAI,2,1,5,4,4
2024,3,Australian Grand Prix,LEC,4,2,6,4,4
2024,3,Australian Grand Prix,ALB,12,11,7,-4,4
2024,3,Australian Grand Prix,HAM,11,20,8,-12,12
2024,3,Australian Grand Prix,STR,9,6,9,3,3
2024,3,Australian Grand Prix,OCO,15,16,10,-6,6
2024,3,Australian Grand Prix,PIA,5,4,11,7,7
2024,3,Australian Grand Prix,ALO,10,8,12,4,4
2024,3,Australian Grand Prix,PER,6,5,13,8,8
2024,3,Australian Grand Prix,MAG,14,10,14,4,4
2024,3,Australian Grand Prix,BOT,13,14,15,1,1
2024,3,Australian Grand Prix,TSU,8,7,16,9,9
