Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2024,5,Chinese Grand Prix,VER,1,1,1,0,0
2024,5,Chinese Grand Prix,HUL,9,10,2,-8,8
2024,5,Chinese Grand Prix,PER,2,3,3,0,0
2024,5,Chinese Grand Prix,PIA,5,8,4,-4,4
2024,5,Chinese Grand Prix,NOR,4,2,5,3,3
2024,5,Chinese Grand Prix,LEC,6,4,6,2,2
2024,5,Chinese Grand Prix,RIC,12,20,7,-13,13
2024,5,Chinese Grand Prix,SAI,7,5,8,3,3
2024,5,Chinese Grand Prix,STR,11,15,9,-6,6
2024,5,Chinese Grand Prix,BOT,10,20,10,-10,10
2024,5,Chinese Grand Prix,RUS,8,6,11,5,5
2024,5,Chinese Grand Prix,ALO,3,7,12,5,5
2024,5,Chinese Grand Prix,ZHO,16,14,13,-1,1
2024,5,Chinese Grand Prix,GAS,15,13,14,1,1
2024,5,Chinese Grand Prix,OCO,13,11,15,4,4
2024,5,Chinese Grand Prix,ALB,14,12,16,4,4
