Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2024,9,Canadian Grand Prix,LEC,11,20,1,-19,19
2024,9,Canadian Grand Prix,NOR,3,2,2,0,0
2024,9,Canadian Grand Prix,SAI,12,20,3,-17,17
2024,9,Canadian Grand Prix,MAG,14,12,4,-8,8
2024,9,Canadian Grand Prix,ALO,6,6,5,-1,1
2024,9,Canadian Grand Prix,PIA,4,5,6,1,1
2024,9,Canadian Grand Prix,PER,16,20,7,-13,13
2024,9,Canadian Grand Prix,VER,2,1,8,7,7
2024,9,Canadian Grand Prix,HAM,7,4,9,5,5
2024,9,Canadian Grand Prix,GAS,15,9,10,1,1
2024,9,Canadian Grand Prix,RUS,1,3,11,8,8
2024,9,Canadian Grand Prix,STR,9,7,12,5,5
2024,9,Canadian Grand Prix,RIC,5,8,13,5,5
2024,9,Canadian Grand Prix,ALB,10,20,14,-6,6
2024,9,Canadian Grand Prix,TSU,8,14,15,1,1
2024,9,Canadian Grand Prix,SAR,13,20,16,-4,4
