Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2024,11,Austrian Grand Prix,PIA,7,2,1,-1,1
2024,11,Austrian Grand Prix,VER,1,5,2,-3,3
2024,11,Austrian Grand Prix,LEC,6,11,3,-8,8
2024,11,Austrian Grand Prix,SAI,4,3,4,1,1
2024,11,Austrian Grand Prix,HAM,5,4,5,1,1
2024,11,Austrian Grand Prix,RUS,3,1,6,5,5
2024,11,Austrian Grand Prix,NOR,2,20,7,-13,13
2024,11,Austrian Grand Prix,PER,8,7,8,1,1
2024,11,Austrian Grand Prix,OCO,10,12,9,-3,3
2024,11,Austrian Grand Prix,ALB,16,15,10,-5,5
2024,11,Austrian Grand Prix,TSU,14,14,11,-3,3
2024,11,Austrian Grand Prix,GAS,13,10,12,2,2
2024,11,Austrian Grand Prix,HUL,9,6,13,7,7
2024,11,Austrian Grand Prix,RIC,11,9,14,5,5
2024,11,Austrian Grand Prix,MAG,12,8,15,7,7
2024,11,Austrian Grand Prix,ALO,15,18,16,-2,2
