Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2024,12,British Grand Prix,NOR,3,3,1,-2,2
2024,12,British Grand Prix,SAI,7,5,2,-3,3
2024,12,British Grand Prix,RUS,1,20,3,-17,17
2024,12,British Grand Prix,HAM,2,1,4,3,3
2024,12,British Grand Prix,PIA,5,4,5,1,1
2024,12,British Grand Prix,LEC,11,14,6,-8,8
2024,12,British Grand Prix,VER,4,2,7,5,5
2024,12,British Grand Prix,BOT,16,15,8,-7,7
2024,12,British Grand Prix,STR,8,7,9,2,2
2024,12,British Grand Prix,SAR,12,11,10,-1,1
2024,12,British Grand Prix,ALO,10,8,11,3,3
2024,12,British Grand Prix,HUL,6,6,12,6,6
2024,12,British Grand Prix,TSU,13,10,13,3,3
2024,12,British Grand Prix,RIC,15,13,14,1,1
2024,12,British Grand Prix,ZHO,14,18,15,-3,3
2024,12,British Grand Prix,ALB,9,9,16,7,7
