Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2024,14,Belgian Grand Prix,VER,11,4,1,-3,3
2024,14,Belgian Grand Prix,PIA,5,2,2,0,0
2024,14,Belgian Grand Prix,NOR,4,5,3,-2,2
2024,14,Belgian Grand Prix,LEC,1,3,4,1,1
2024,14,Belgian Grand Prix,RUS,6,20,5,-15,15
2024,14,Belgian Grand Prix,HAM,3,1,6,5,5
2024,14,Belgian Grand Prix,PER,2,7,7,0,0
2024,14,Belgian Grand Prix,SAI,7,6,8,2,2
2024,14,Belgian Grand Prix,GAS,12,13,9,-4,4
2024,14,Belgian Grand Prix,ALB,10,12,10,-2,2
2024,14,Belgian Grand Prix,STR,15,11,11,0,0
2024,14,Belgian Grand Prix,ALO,8,8,12,4,4
2024,14,Belgian Grand Prix,RIC,13,10,13,3,3
2024,14,Belgian Grand Prix,BOT,14,15,14,-1,1
2024,14,Belgian Grand Prix,HUL,16,18,15,-3,3
2024,14,Belgian Grand Prix,OCO,9,9,16,7,7
