Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2024,15,Dutch Grand Prix,RUS,4,7,1,-6,6
2024,15,Dutch Grand Prix,VER,2,2,2,0,0
2024,15,Dutch Grand Prix,PIA,3,4,3,-1,1
2024,15,Dutch Grand Prix,GAS,9,9,4,-5,5
2024,15,Dutch Grand Prix,NOR,1,1,5,4,4
2024,15,Dutch Grand Prix,SAI,10,5,6,1,1
2024,15,Dutch Grand Prix,BOT,16,19,7,-12,12
2024,15,Dutch Grand Prix,HAM,14,8,8,0,0
2024,15,Dutch Grand Prix,PER,5,6,9,3,3
2024,15,Dutch Grand Prix,ALO,7,10,10,0,0
2024,15,Dutch Grand Prix,OCO,15,15,11,-4,4
2024,15,Dutch Grand Prix,RIC,13,12,12,0,0
2024,15,Dutch Grand Prix,LEC,6,3,13,10,10
2024,15,Dutch Grand Prix,TSU,11,17,14,-3,3
2024,15,Dutch Grand Prix,HUL,12,11,15,4,4
2024,15,Dutch Grand Prix,STR,8,13,16,3,3
