Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2024,17,Azerbaijan Grand Prix,VER,6,5,1,-4,4
2024,17,Azerbaijan Grand Prix,LEC,1,2,2,0,0
2024,17,Azerbaijan Grand Prix,HUL,12,11,3,-8,8
2024,17,Azerbaijan Grand Prix,PIA,2,1,4,3,3
2024,17,Azerbaijan Grand Prix,NOR,15,4,5,1,1
2024,17,Azerbaijan Grand Prix,PER,4,17,6,-11,11
2024,17,Azerbaijan Grand Prix,RUS,5,3,7,4,4
2024,17,Azerbaijan Grand Prix,ALO,7,6,8,2,2
2024,17,Azerbaijan Grand Prix,STR,13,19,9,-10,10
2024,17,Azerbaijan Grand Prix,ALB,9,7,10,3,3
2024,17,Azerbaijan Grand Prix,COL,8,8,11,3,3
2024,17,Azerbaijan Grand Prix,SAI,3,18,12,-6,6
2024,17,Azerbaijan Grand Prix,BEA,10,10,13,3,3
2024,17,Azerbaijan Grand Prix,TSU,11,20,14,-6,6
2024,17,Azerbaijan Grand Prix,RIC,14,13,15,2,2
2024,17,Azerbaijan Grand Prix,BOT,16,16,16,0,0
