Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2024,18,Singapore Grand Prix,PER,13,10,1,-9,9
2024,18,Singapore Grand Prix,NOR,1,1,2,1,1
2024,18,Singapore Grand Prix,SAI,10,7,3,-4,4
2024,18,Singapore Grand Prix,VER,2,2,4,2,2
2024,18,Singapore Grand Prix,PIA,5,3,5,2,2
2024,18,Singapore Grand Prix,LEC,9,5,6,1,1
2024,18,Singapore Grand Prix,HAM,3,6,7,1,1
2024,18,Singapore Grand Prix,RUS,4,4,8,4,4
2024,18,Singapore Grand Prix,ALB,11,20,9,-11,11
2024,18,Singapore Grand Prix,OCO,15,13,10,-3,3
2024,18,Singapore Grand Prix,ALO,7,8,11,3,3
2024,18,Singapore Grand Prix,RIC,16,18,12,-6,6
2024,18,Singapore Grand Prix,COL,12,11,13,2,2
2024,18,Singapore Grand Prix,HUL,6,9,14,5,5
2024,18,Singapore Grand Prix,TSU,8,12,15,3,3
2024,18,Singapore Grand Prix,MAG,14,19,16,-3,3
