Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2024,19,United States Grand Prix,NOR,1,4,1,-3,3
2024,19,United States Grand Prix,TSU,10,14,2,-12,12
2024,19,United States Grand Prix,LEC,4,1,3,2,2
2024,19,United States Grand Prix,SAI,3,2,4,2,2
2024,19,United States Grand Prix,PER,9,7,5,-2,2
2024,19,United States Grand Prix,STR,13,15,6,-9,9
2024,19,United States Grand Prix,GAS,6,12,7,-5,5
2024,19,United States Grand Prix,VER,2,3,8,5,5
2024,19,United States Grand Prix,MAG,8,11,9,-2,2
2024,19,United States Grand Prix,PIA,5,5,10,5,5
2024,19,United States Grand Prix,HUL,11,8,11,3,3
2024,19,United States Grand Prix,BOT,16,17,12,-5,5
2024,19,United States Grand Prix,OCO,12,18,13,-5,5
2024,19,United States Grand Prix,ALB,14,16,14,-2,2
2024,19,United States Grand Prix,ALO,7,13,15,2,2
2024,19,United States Grand Prix,COL,15,10,16,6,6
