Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2024,23,Qatar Grand Prix,LEC,5,2,1,-1,1
2024,23,Qatar Grand Prix,PIA,4,3,2,-1,1
2024,23,Qatar Grand Prix,NOR,3,10,3,-7,7
2024,23,Qatar Grand Prix,VER,2,1,4,3,3
2024,23,Qatar Grand Prix,RUS,1,4,5,1,1
2024,23,Qatar Grand Prix,SAI,7,6,6,0,0
2024,23,Qatar Grand Prix,HAM,6,12,7,-5,5
2024,23,Qatar Grand Prix,TSU,14,13,8,-5,5
2024,23,Qatar Grand Prix,ALB,16,15,9,-6,6
2024,23,Qatar Grand Prix,BOT,13,11,10,-1,1
2024,23,Qatar Grand Prix,ALO,8,7,11,4,4
2024,23,Qatar Grand Prix,STR,15,20,12,-8,8
2024,23,Qatar Grand Prix,PER,9,20,13,-7,7
2024,23,Qatar Grand Prix,MAG,10,9,14,5,5
2024,23,Qatar Grand Prix,GAS,11,5,15,10,10
2024,23,Qatar Grand Prix,ZHO,12,8,16,8,8
