Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2024,24,Abu Dhabi Grand Prix,NOR,1,1,1,0,0
2024,24,Abu Dhabi Grand Prix,SAI,3,2,2,0,0
2024,24,Abu Dhabi Grand Prix,HAM,16,4,3,-1,1
2024,24,Abu Dhabi Grand Prix,MAG,14,16,4,-12,12
2024,24,Abu Dhabi Grand Prix,ALO,8,9,5,-4,4
2024,24,Abu Dhabi Grand Prix,RUS,6,5,6,1,1
2024,24,Abu Dhabi Grand Prix,GAS,5,7,7,0,0
2024,24,Abu Dhabi Grand Prix,BOT,9,20,8,-12,12
2024,24,Abu Dhabi Grand Prix,PIA,2,10,9,-1,1
2024,24,Abu Dhabi Grand Prix,LAW,12,17,10,-7,7
2024,24,Abu Dhabi Grand Prix,ZHO,15,13,11,-2,2
2024,24,Abu Dhabi Grand Prix,PER,10,20,12,-8,8
2024,24,Abu Dhabi Grand Prix,HUL,7,8,13,5,5
2024,24,Abu Dhabi Grand Prix,VER,4,6,14,8,8
2024,24,Abu Dhabi Grand Prix,TSU,11,12,15,3,3
2024,24,Abu Dhabi Grand Prix,STR,13,14,16,2,2
