Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2025,1,Australian Grand Prix,RUS,4,3,1,-2,2
2025,1,Australian Grand Prix,ALB,6,5,2,-3,3
2025,1,Australian Grand Prix,VER,3,2,3,1,1
2025,1,Australian Grand Prix,ALO,12,20,4,-16,16
2025,1,Australian Grand Prix,BOR,15,20,5,-15,15
2025,1,Australian Grand Prix,LEC,7,8,6,-2,2
2025,1,Australian Grand Prix,STR,13,6,7,1,1
2025,1,Australian Grand Prix,PIA,2,9,8,-1,1
2025,1,Australian Grand Prix,SAI,10,20,9,-11,11
2025,1,Australian Grand Prix,NOR,1,1,10,9,9
2025,1,Australian Grand Prix,DOO,14,20,11,-9,9
2025,1,Australian Grand Prix,HAM,8,10,12,2,2
2025,1,Australian Grand Prix,HAD,11,20,13,-7,7
2025,1,Australian Grand Prix,TSU,5,12,14,2,2
2025,1,Australian Grand Prix,ANT,16,4,15,11,11
2025,1,Australian Grand Prix,GAS,9,11,16,5,5
2025,2,Chinese Grand Prix,PIA,1,1,1,0,0
2025,2,Chinese Grand Prix,RUS,2,3,2,-1,1
2025,2,Chinese Grand Prix,LEC,6,20,3,-17,17
2025,2,Chinese Grand Prix,NOR,3,2,4,2,2
2025,2,Chinese Grand Prix,HAD,7,11,5,-6,6
2025,2,Chinese Grand Prix,HAM,5,20,6,-14,14
2025,2,Chinese Grand Prix,VER,4,4,7,3,3
2025,2,Chinese Grand Prix,SAI,15,10,8,-2,2
2025,2,Chinese Grand Prix,GAS,16,20,9,-11,11
2025,2,Chinese Grand Prix,OCO,11,5,10,5,5
2025,2,Chinese Grand Prix,TSU,9,16,11,-5,5
2025,2,Chinese Grand Prix,ALO,13,20,12,-8,8
2025,2,Chinese Grand Prix,HUL,12,15,13,-2,2
2025,2,Chinese Grand Prix,ALB,10,7,14,7,7
2025,2,Chinese Grand Prix,ANT,8,6,15,9,9
2025,2,Chinese Grand Prix,STR,14,9,16,7,7
2025,3,Japanese Grand Prix,HAM,8,7,1,-6,6
2025,3,Japanese Grand Prix,NOR,2,2,2,0,0
2025,3,Japanese Grand Prix,LAW,13,17,3,-14,14
2025,3,Japanese Grand Prix,RUS,5,5,4,-1,1
2025,3,Japanese Grand Prix,ALB,9,9,5,-4,4
2025,3,Japanese Grand Prix,GAS,11,13,6,-7,7
2025,3,Japanese Grand Prix,LEC,4,4,7,3,3
2025,3,Japanese Grand Prix,VER,1,1,8,7,7
2025,3,Japanese Grand Prix,HAD,7,8,9,1,1
2025,3,Japanese Grand Prix,PIA,3,3,10,7,7
2025,3,Japanese Grand Prix,BEA,10,10,11,1,1
2025,3,Japanese Grand Prix,ANT,6,6,12,6,6
2025,3,Japanese Grand Prix,TSU,14,12,13,1,1
2025,3,Japanese Grand Prix,SAI,15,14,14,0,0
2025,3,Japanese Grand Prix,HUL,16,16,15,-1,1
2025,3,Japanese Grand Prix,ALO,12,11,16,5,5
2025,4,Bahrain Grand Prix,HAM,9,5,1,-4,4
2025,4,Bahrain Grand Prix,GAS,4,7,2,-5,5
2025,4,Bahrain Grand Prix,TSU,10,9,3,-6,6
2025,4,Bahrain Grand Prix,NOR,6,3,4,1,1
2025,4,Bahrain Grand Prix,RUS,3,2,5,3,3
2025,4,Bahrain Grand Prix,HAD,12,13,6,-7,7
2025,4,Bahrain Grand Prix,ALB,15,12,7,-5,5
2025,4,Bahrain Grand Prix,LEC,2,4,8,4,4
2025,4,Bahrain Grand Prix,HUL,16,20,9,-11,11
2025,4,Bahrain Grand Prix,PIA,1,1,10,9,9
2025,4,Bahrain Grand Prix,OCO,14,8,11,3,3
2025,4,Bahrain Grand Prix,VER,7,6,12,6,6
2025,4,Bahrain Grand Prix,DOO,11,14,13,-1,1
2025,4,Bahrain Grand Prix,ANT,5,11,14,3,3
2025,4,Bahrain Grand Prix,SAI,8,20,15,-5,5
2025,4,Bahrain Grand Prix,ALO,13,15,16,1,1
2025,5,Saudi Arabian Grand Prix,PIA,2,1,1,0,0
2025,5,Saudi Arabian Grand Prix,ALO,13,11,2,-9,9
2025,5,Saudi Arabian Grand Prix,RUS,3,5,3,-2,2
2025,5,Saudi Arabian Grand Prix,HAM,7,7,4,-3,3
2025,5,Saudi Arabian Grand Prix,STR,16,16,5,-11,11
2025,5,Saudi Arabian Grand Prix,ALB,11,9,6,-3,3
2025,5,Saudi Arabian Grand Prix,NOR,10,4,7,3,3
2025,5,Saudi Arabian Grand Prix,GAS,9,20,8,-12,12
2025,5,Saudi Arabian Grand Prix,ANT,5,6,9,3,3
2025,5,Saudi Arabian Grand Prix,HAD,14,10,10,0,0
2025,5,Saudi Arabian Grand Prix,LEC,4,3,11,8,8
2025,5,Saudi Arabian Grand Prix,VER,1,2,12,10,10
2025,5,Saudi Arabian Grand Prix,BEA,15,13,13,0,0
2025,5,Saudi Arabian Grand Prix,LAW,12,12,14,2,2
2025,5,Saudi Arabian Grand Prix,TSU,8,20,15,-5,5
2025,5,Saudi Arabian Grand Prix,SAI,6,8,16,8,8
2025,6,Miami Grand Prix,SAI,6,9,1,-8,8
2025,6,Miami Grand Prix,LEC,8,7,2,-5,5
2025,6,Miami Grand Prix,ALB,7,5,3,-2,2
2025,6,Miami Grand Prix,RUS,5,3,4,1,1
2025,6,Miami Grand Prix,PIA,4,1,5,4,4
2025,6,Miami Grand Prix,VER,1,4,6,2,2
2025,6,Miami Grand Prix,HAD,11,11,7,-4,4
2025,6,Miami Grand Prix,NOR,2,2,8,6,6
2025,6,Miami Grand Prix,OCO,9,12,9,-3,3
2025,6,Miami Grand Prix,HAM,12,8,10,2,2
2025,6,Miami Grand Prix,TSU,10,10,11,1,1
2025,6,Miami Grand Prix,HUL,16,14,12,-2,2
2025,6,Miami Grand Prix,BOR,13,20,13,-7,7
2025,6,Miami Grand Prix,ANT,3,6,14,8,8
2025,6,Miami Grand Prix,LAW,15,20,15,-5,5
2025,6,Miami Grand Prix,DOO,14,20,16,-4,4
2025,7,Emilia Romagna Grand Prix,RUS,3,7,1,-6,6
2025,7,Emilia Romagna Grand Prix,NOR,4,2,2,0,0
2025,7,Emilia Romagna Grand Prix,PIA,1,3,3,0,0
2025,7,Emilia Romagna Grand Prix,LEC,11,6,4,-2,2
2025,7,Emilia Romagna Grand Prix,HAM,12,4,5,1,1
2025,7,Emilia Romagna Grand Prix,HAD,9,9,6,-3,3
2025,7,Emilia Romagna Grand Prix,SAI,6,8,7,-1,1
2025,7,Emilia Romagna Grand Prix,VER,2,1,8,7,7
2025,7,Emilia Romagna Grand Prix,COL,16,16,9,-7,7
2025,7,Emilia Romagna Grand Prix,GAS,10,13,10,-3,3
2025,7,Emilia Romagna Grand Prix,ALB,7,5,11,6,6
2025,7,Emilia Romagna Grand Prix,LAW,15,14,12,-2,2
2025,7,Emilia Romagna Grand Prix,ALO,5,11,13,2,2
2025,7,Emilia Romagna Grand Prix,ANT,13,20,14,-6,6
2025,7,Emilia Romagna Grand Prix,STR,8,15,15,0,0
2025,7,Emilia Romagna Grand Prix,BOR,14,18,16,-2,2
2025,8,Monaco Grand Prix,NOR,1,1,1,0,0
2025,8,Monaco Grand Prix,LEC,2,2,2,0,0
2025,8,Monaco Grand Prix,PIA,3,3,3,0,0
2025,8,Monaco Grand Prix,RUS,14,11,4,-7,7
2025,8,Monaco Grand Prix,ALO,6,20,5,-15,15
2025,8,Monaco Grand Prix,VER,4,4,6,2,2
2025,8,Monaco Grand Prix,HAM,7,5,7,2,2
2025,8,Monaco Grand Prix,HAD,5,6,8,2,2
2025,8,Monaco Grand Prix,ANT,15,18,9,-9,9
2025,8,Monaco Grand Prix,ALB,10,9,10,1,1
2025,8,Monaco Grand Prix,OCO,8,7,11,4,4
2025,8,Monaco Grand Prix,SAI,11,10,12,2,2
2025,8,Monaco Grand Prix,TSU,12,17,13,-4,4
2025,8,Monaco Grand Prix,HUL,13,16,14,-2,2
2025,8,Monaco Grand Prix,LAW,9,8,15,7,7
2025,8,Monaco Grand Prix,BOR,16,14,16,2,2
2025,9,Spanish Grand Prix,LEC,7,3,1,-2,2
2025,9,Spanish Grand Prix,NOR,2,2,2,0,0
2025,9,Spanish Grand Prix,VER,3,10,3,-7,7
2025,9,Spanish Grand Prix,PIA,1,1,4,3,3
2025,9,Spanish Grand Prix,HAM,5,6,5,-1,1
2025,9,Spanish Grand Prix,RUS,4,4,6,2,2
2025,9,Spanish Grand Prix,HAD,9,7,7,0,0
2025,9,Spanish Grand Prix,BEA,14,17,8,-9,9
2025,9,Spanish Grand Prix,LAW,13,11,9,-2,2
2025,9,Spanish Grand Prix,ALO,10,9,10,1,1
2025,9,Spanish Grand Prix,BOR,12,12,11,-1,1
2025,9,Spanish Grand Prix,GAS,8,8,12,4,4
2025,9,Spanish Grand Prix,ALB,11,20,13,-7,7
2025,9,Spanish Grand Prix,OCO,16,16,14,-2,2
2025,9,Spanish Grand Prix,HUL,15,5,15,10,10
2025,9,Spanish Grand Prix,ANT,6,20,16,-4,4
2025,10,Canadian Grand Prix,NOR,7,18,1,-17,17
2025,10,Canadian Grand Prix,SAI,16,10,2,-8,8
2025,10,Canadian Grand Prix,VER,2,2,3,1,1
2025,10,Canadian Grand Prix,PIA,3,4,4,0,0
2025,10,Canadian Grand Prix,ANT,4,3,5,2,2
2025,10,Canadian Grand Prix,OCO,14,9,6,-3,3
2025,10,Canadian Grand Prix,BEA,13,11,7,-4,4
2025,10,Canadian Grand Prix,ALO,6,7,8,1,1
2025,10,Canadian Grand Prix,ALB,9,20,9,-11,11
2025,10,Canadian Grand Prix,HUL,11,8,10,2,2
2025,10,Canadian Grand Prix,RUS,1,1,11,10,10
2025,10,Canadian Grand Prix,HAD,12,16,12,-4,4
2025,10,Canadian Grand Prix,HAM,5,6,13,7,7
2025,10,Canadian Grand Prix,BOR,15,14,14,0,0
2025,10,Canadian Grand Prix,LEC,8,5,15,10,10
2025,10,Canadian Grand Prix,COL,10,13,16,3,3
2025,11,Austrian Grand Prix,NOR,1,1,1,0,0
2025,11,Austrian Grand Prix,RUS,5,5,2,-3,3
2025,11,Austrian Grand Prix,BOR,8,8,3,-5,5
2025,11,Austrian Grand Prix,ANT,9,20,4,-16,16
2025,11,Austrian Grand Prix,HAM,4,4,5,1,1
2025,11,Austrian Grand Prix,GAS,10,13,6,-7,7
2025,11,Austrian Grand Prix,VER,7,20,7,-13,13
2025,11,Austrian Grand Prix,ALB,12,20,8,-12,12
2025,11,Austrian Grand Prix,ALO,11,7,9,2,2
2025,11,Austrian Grand Prix,HAD,13,12,10,-2,2
2025,11,Austrian Grand Prix,PIA,3,2,11,9,9
2025,11,Austrian Grand Prix,LAW,6,6,12,6,6
2025,11,Austrian Grand Prix,BEA,15,11,13,2,2
2025,11,Austrian Grand Prix,LEC,2,3,14,11,11
2025,11,Austrian Grand Prix,COL,14,15,15,0,0
2025,11,Austrian Grand Prix,STR,16,14,16,2,2
2025,12,British Grand Prix,LEC,6,14,1,-13,13
2025,12,British Grand Prix,ANT,10,20,2,-18,18
2025,12,British Grand Prix,PIA,2,2,3,1,1
2025,12,British Grand Prix,ALB,13,8,4,-4,4
2025,12,British Grand Prix,ALO,7,9,5,-4,4
2025,12,British Grand Prix,RUS,4,10,6,-4,4
2025,12,British Grand Prix,VER,1,5,7,2,2
2025,12,British Grand Prix,LAW,15,20,8,-12,12
2025,12,British Grand Prix,NOR,3,1,9,8,8
2025,12,British Grand Prix,HAM,5,4,10,6,6
2025,12,British Grand Prix,HAD,12,20,11,-9,9
2025,12,British Grand Prix,SAI,9,12,12,0,0
2025,12,British Grand Prix,OCO,14,13,13,0,0
2025,12,British Grand Prix,TSU,11,15,14,-1,1
2025,12,British Grand Prix,BOR,16,20,15,-5,5
2025,12,British Grand Prix,GAS,8,6,16,10,10
2025,13,Belgian Grand Prix,NOR,1,2,1,-1,1
2025,13,Belgian Grand Prix,PIA,2,1,2,1,1
