Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2025,3,Japanese Grand Prix,HAM,8,7,1,-6,6
2025,3,Japanese Grand Prix,NOR,2,2,2,0,0
2025,3,Japanese Grand Prix,LAW,13,17,3,-14,14
2025,3,Japanese Grand Prix,RUS,5,5,4,-1,1
2025,3,Japanese Grand Prix,ALB,9,9,5,-4,4
2025,3,Japanese Grand Prix,GAS,11,13,6,-7,7
2025,3,Japanese Grand Prix,LEC,4,4,7,3,3
2025,3,Japanese Grand Prix,VER,1,1,8,7,7
2025,3,Japanese Grand Prix,HAD,7,8,9,1,1
2025,3,Japanese Grand Prix,PIA,3,3,10,7,7
2025,3,Japanese Grand Prix,BEA,10,10,11,1,1
2025,3,Japanese Grand Prix,ANT,6,6,12,6,6
2025,3,Japanese Grand Prix,TSU,14,12,13,1,1
2025,3,Japanese Grand Prix,SAI,15,14,14,0,0
2025,3,Japanese Grand Prix,HUL,16,16,15,-1,1
2025,3,Japanese Grand Prix,ALO,12,11,16,5,5
