Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2025,5,Saudi Arabian Grand Prix,PIA,2,1,1,0,0
2025,5,Saudi Arabian Grand Prix,ALO,13,11,2,-9,9
2025,5,Saudi Arabian Grand Prix,RUS,3,5,3,-2,2
2025,5,Saudi Arabian Grand Prix,HAM,7,7,4,-3,3
2025,5,Saudi Arabian Grand Prix,STR,16,16,5,-11,11
2025,5,Saudi Arabian Grand Prix,ALB,11,9,6,-3,3
2025,5,Saudi Arabian Grand Prix,NOR,10,4,7,3,3
2025,5,Saudi Arabian Grand Prix,GAS,9,20,8,-12,12
2025,5,Saudi Arabian Grand Prix,ANT,5,6,9,3,3
2025,5,Saudi Arabian Grand Prix,HAD,14,10,10,0,0
2025,5,Saudi Arabian Grand Prix,LEC,4,3,11,8,8
2025,5,Saudi Arabian Grand Prix,VER,1,2,12,10,10
2025,5,Saudi Arabian Grand Prix,BEA,15,13,13,0,0
2025,5,Saudi Arabian Grand Prix,LAW,12,12,14,2,2
2025,5,Saudi Arabian Grand Prix,TSU,8,20,15,-5,5
2025,5,Saudi Arabian Grand Prix,SAI,6,8,16,8,8
