Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2025,6,Miami Grand Prix,SAI,6,9,1,-8,8
2025,6,Miami Grand Prix,LEC,8,7,2,-5,5
2025,6,Miami Grand Prix,ALB,7,5,3,-2,2
2025,6,Miami Grand Prix,RUS,5,3,4,1,1
2025,6,Miami Grand Prix,PIA,4,1,5,4,4
2025,6,Miami Grand Prix,VER,1,4,6,2,2
2025,6,Miami Grand Prix,HAD,11,11,7,-4,4
2025,6,Miami Grand Prix,NOR,2,2,8,6,6
2025,6,Miami Grand Prix,OCO,9,12,9,-3,3
2025,6,Miami Grand Prix,HAM,12,8,10,2,2
2025,6,Miami Grand Prix,TSU,10,10,11,1,1
2025,6,Miami Grand Prix,HUL,16,14,12,-2,2
2025,6,Miami Grand Prix,BOR,13,20,13,-7,7
2025,6,Miami Grand Prix,ANT,3,6,14,8,8
2025,6,Miami Grand Prix,LAW,15,20,15,-5,5
2025,6,Miami Grand Prix,DOO,14,20,16,-4,4
