Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2025,7,Emilia Romagna Grand Prix,RUS,3,7,1,-6,6
2025,7,Emilia Romagna Grand Prix,NOR,4,2,2,0,0
2025,7,Emilia Romagna Grand Prix,PIA,1,3,3,0,0
2025,7,Emilia Romagna Grand Prix,LEC,11,6,4,-2,2
2025,7,Emilia Romagna Grand Prix,HAM,12,4,5,1,1
2025,7,Emilia Romagna Grand Prix,HAD,9,9,6,-3,3
2025,7,Emilia Romagna Grand Prix,SAI,6,8,7,-1,1
2025,7,Emilia Romagna Grand Prix,VER,2,1,8,7,7
2025,7,Emilia Romagna Grand Prix,COL,16,16,9,-7,7
2025,7,Emilia Romagna Grand Prix,GAS,10,13,10,-3,3
2025,7,Emilia Romagna Grand Prix,ALB,7,5,11,6,6
2025,7,Emilia Romagna Grand Prix,LAW,15,14,12,-2,2
2025,7,Emilia Romagna Grand Prix,ALO,5,11,13,2,2
2025,7,Emilia Romagna Grand Prix,ANT,13,20,14,-6,6
2025,7,Emilia Romagna Grand Prix,STR,8,15,15,0,0
2025,7,Emilia Romagna Grand Prix,BOR,14,18,16,-2,2
