Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2025,8,Monaco Grand Prix,NOR,1,1,1,0,0
2025,8,Monaco Grand Prix,LEC,2,2,2,0,0
2025,8,Monaco Grand Prix,PIA,3,3,3,0,0
2025,8,Monaco Grand Prix,RUS,14,11,4,-7,7
2025,8,Monaco Grand Prix,ALO,6,20,5,-15,15
2025,8,Monaco Grand Prix,VER,4,4,6,2,2
2025,8,Monaco Grand Prix,HAM,7,5,7,2,2
2025,8,Monaco Grand Prix,HAD,5,6,8,2,2
2025,8,Monaco Grand Prix,ANT,15,18,9,-9,9
2025,8,Monaco Grand Prix,ALB,10,9,10,1,1
2025,8,Monaco Grand Prix,OCO,8,7,11,4,4
2025,8,Monaco Grand Prix,SAI,11,10,12,2,2
2025,8,Monaco Grand Prix,TSU,12,17,13,-4,4
2025,8,Monaco Grand Prix,HUL,13,16,14,-2,2
2025,8,Monaco Grand Prix,LAW,9,8,15,7,7
2025,8,Monaco Grand Prix,BOR,16,14,16,2,2
