Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2025,9,Spanish Grand Prix,LEC,7,3,1,-2,2
2025,9,Spanish Grand Prix,NOR,2,2,2,0,0
2025,9,Spanish Grand Prix,VER,3,10,3,-7,7
2025,9,Spanish Grand Prix,PIA,1,1,4,3,3
2025,9,Spanish Grand Prix,HAM,5,6,5,-1,1
2025,9,Spanish Grand Prix,RUS,4,4,6,2,2
2025,9,Spanish Grand Prix,HAD,9,7,7,0,0
2025,9,Spanish Grand Prix,BEA,14,17,8,-9,9
2025,9,Spanish Grand Prix,LAW,13,11,9,-2,2
2025,9,Spanish Grand Prix,ALO,10,9,10,1,1
2025,9,Spanish Grand Prix,BOR,12,12,11,-1,1
2025,9,Spanish Grand Prix,GAS,8,8,12,4,4
2025,9,Spanish Grand Prix,ALB,11,20,13,-7,7
2025,9,Spanish Grand Prix,OCO,16,16,14,-2,2
2025,9,Spanish Grand Prix,HUL,15,5,15,10,10
2025,9,Spanish Grand Prix,ANT,6,20,16,-4,4
