Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2025,20,Mexico City Grand Prix,VER,5,3,1,-2,2
2025,20,Mexico City Grand Prix,ANT,6,6,2,-4,4
2025,20,Mexico City Grand Prix,HAM,3,8,3,-5,5
2025,20,Mexico City Grand Prix,LEC,2,2,4,2,2
2025,20,Mexico City Grand Prix,HAD,8,13,5,-8,8
2025,20,Mexico City Grand Prix,RUS,4,7,6,-1,1
2025,20,Mexico City Grand Prix,BEA,9,4,7,3,3
2025,20,Mexico City Grand Prix,ALO,14,20,8,-12,12
2025,20,Mexico City Grand Prix,OCO,11,9,9,0,0
2025,20,Mexico City Grand Prix,SAI,12,17,10,-7,7
2025,20,Mexico City Grand Prix,PIA,7,5,11,6,6
2025,20,Mexico City Grand Prix,HUL,13,20,12,-8,8
2025,20,Mexico City Grand Prix,NOR,1,1,13,12,12
2025,20,Mexico City Grand Prix,LAW,15,20,14,-6,6
2025,20,Mexico City Grand Prix,BOR,16,10,15,5,5
2025,20,Mexico City Grand Prix,TSU,10,11,16,5,5
