Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2025,21,São Paulo Grand Prix,PIA,4,5,1,-4,4
2025,21,São Paulo Grand Prix,RUS,6,4,2,-2,2
2025,21,São Paulo Grand Prix,SAI,15,13,3,-10,10
2025,21,São Paulo Grand Prix,ALO,11,14,4,-10,10
2025,21,São Paulo Grand Prix,NOR,1,1,5,4,4
2025,21,São Paulo Grand Prix,LEC,3,20,6,-14,14
2025,21,São Paulo Grand Prix,BEA,8,6,7,1,1
2025,21,São Paulo Grand Prix,ALB,12,11,8,-3,3
2025,21,São Paulo Grand Prix,LAW,7,7,9,2,2
2025,21,São Paulo Grand Prix,COL,16,15,10,-5,5
2025,21,São Paulo Grand Prix,HAD,5,8,11,3,3
2025,21,São Paulo Grand Prix,ANT,2,2,12,10,10
2025,21,São Paulo Grand Prix,HAM,13,20,13,-7,7
2025,21,São Paulo Grand Prix,STR,14,16,14,-2,2
2025,21,São Paulo Grand Prix,HUL,10,9,15,6,6
2025,21,São Paulo Grand Prix,GAS,9,10,16,6,6
