Year,Round,Race,Driver,Start,Actual,Predicted,Misplacement,AbsMisplacement
2025,22,Las Vegas Grand Prix,VER,2,1,1,0,0
2025,22,Las Vegas Grand Prix,NOR,1,20,2,-18,18
2025,22,Las Vegas Grand Prix,SAI,3,5,3,-2,2
2025,22,Las Vegas Grand Prix,LEC,9,4,4,0,0
2025,22,Las Vegas Grand Prix,ALB,16,20,5,-15,15
2025,22,Las Vegas Grand Prix,RUS,4,2,6,4,4
2025,22,Las Vegas Grand Prix,PIA,5,20,7,-13,13
2025,22,Las Vegas Grand Prix,ALO,7,11,8,-3,3
2025,22,Las Vegas Grand Prix,HAD,8,6,9,3,3
2025,22,Las Vegas Grand Prix,OCO,13,9,10,1,1
2025,22,Las Vegas Grand Prix,HUL,11,7,11,4,4
2025,22,Las Vegas Grand Prix,GAS,10,13,12,-1,1
2025,22,Las Vegas Grand Prix,BEA,14,10,13,3,3
2025,22,Las Vegas Grand Prix,STR,12,20,14,-6,6
2025,22,Las Vegas Grand Prix,LAW,6,14,15,1,1
2025,22,Las Vegas Grand Prix,COL,15,15,16,1,1
